trainee,timestamp,eventType,event
1,14.5.2020 10:03:27,game,39-LevelStarted
1,14.5.2020 10:04:51,game,40-LevelStarted
1,14.5.2020 10:15:20,game,40-HintTaken-40-1
1,14.5.2020 10:22:11,game,40-CorrectFlagSubmitted
1,14.5.2020 10:22:11,game,41-LevelStarted
1,14.5.2020 10:36:05,game,41-HintTaken-41-1
1,14.5.2020 10:51:34,game,41-HintTaken-41-2
1,14.5.2020 10:59:08,game,41-SolutionDisplayed
1,14.5.2020 11:02:36,game,41-CorrectFlagSubmitted
1,14.5.2020 11:02:37,game,41-SolutionDisplayed
1,14.5.2020 11:02:37,game,42-LevelStarted
1,14.5.2020 11:03:20,game,42-HintTaken-42-1
1,14.5.2020 11:09:32,game,42-WrongFlagSubmitted-keys
1,14.5.2020 11:09:43,game,42-CorrectFlagSubmitted
1,14.5.2020 11:09:44,game,43-LevelStarted
1,14.5.2020 11:18:52,game,43-HintTaken-43-1
1,14.5.2020 11:50:42,game,43-WrongFlagSubmitted-1g
1,14.5.2020 11:51:08,game,43-CorrectFlagSubmitted
1,14.5.2020 11:51:08,game,44-LevelStarted
1,14.5.2020 11:59:01,game,44-HintTaken-44-1
1,14.5.2020 12:06:18,game,44-CorrectFlagSubmitted
1,14.5.2020 12:06:19,game,45-LevelStarted
1,14.5.2020 12:06:39,game,45-TrainingRunEnded
2,14.5.2020 10:02:12,game,39-LevelStarted
2,14.5.2020 10:03:18,game,40-LevelStarted
2,14.5.2020 10:08:09,game,40-HintTaken-40-1
2,14.5.2020 10:08:46,game,40-HintTaken-40-2
2,14.5.2020 10:13:08,game,40-CorrectFlagSubmitted
2,14.5.2020 10:13:08,game,41-LevelStarted
2,14.5.2020 10:14:14,game,41-HintTaken-41-1
2,14.5.2020 10:14:52,game,41-HintTaken-41-2
2,14.5.2020 10:28:21,game,41-SolutionDisplayed
2,14.5.2020 10:35:26,game,41-CorrectFlagSubmitted
2,14.5.2020 10:35:26,game,41-SolutionDisplayed
2,14.5.2020 10:35:26,game,42-LevelStarted
2,14.5.2020 10:37:05,game,42-HintTaken-42-1
2,14.5.2020 10:37:10,game,42-HintTaken-42-2
2,14.5.2020 10:51:41,game,42-CorrectFlagSubmitted
2,14.5.2020 10:51:42,game,43-LevelStarted
2,14.5.2020 10:52:59,game,43-HintTaken-43-1
2,14.5.2020 10:53:03,game,43-HintTaken-43-2
2,14.5.2020 11:12:23,game,43-SolutionDisplayed
2,14.5.2020 11:26:19,game,43-CorrectFlagSubmitted
2,14.5.2020 11:26:19,game,43-SolutionDisplayed
2,14.5.2020 11:26:20,game,44-LevelStarted
2,14.5.2020 11:29:09,game,44-HintTaken-44-1
2,14.5.2020 11:29:13,game,44-HintTaken-44-2
2,14.5.2020 11:29:19,game,44-HintTaken-44-3
2,14.5.2020 11:43:34,game,44-CorrectFlagSubmitted
2,14.5.2020 11:43:34,game,45-LevelStarted
2,14.5.2020 11:44:00,game,45-TrainingRunEnded
3,14.5.2020 10:08:58,game,39-LevelStarted
3,14.5.2020 10:10:04,game,40-LevelStarted
3,14.5.2020 10:12:45,game,40-HintTaken-40-1
3,14.5.2020 10:32:15,game,40-CorrectFlagSubmitted
3,14.5.2020 10:32:16,game,41-LevelStarted
3,14.5.2020 10:35:29,game,41-HintTaken-41-1
3,14.5.2020 10:37:28,game,41-HintTaken-41-2
3,14.5.2020 11:04:36,game,41-WrongFlagSubmitted-49357
3,14.5.2020 11:05:01,game,41-CorrectFlagSubmitted
3,14.5.2020 11:05:01,game,42-LevelStarted
3,14.5.2020 11:07:40,game,42-HintTaken-42-1
3,14.5.2020 11:07:48,game,42-HintTaken-42-2
3,14.5.2020 11:25:21,game,42-WrongFlagSubmitted-.ssh
3,14.5.2020 11:26:00,game,42-CorrectFlagSubmitted
3,14.5.2020 11:26:00,game,43-LevelStarted
3,14.5.2020 11:29:33,game,43-HintTaken-43-1
3,14.5.2020 11:29:40,game,43-HintTaken-43-2
3,14.5.2020 12:09:12,game,43-CorrectFlagSubmitted
3,14.5.2020 12:09:12,game,44-LevelStarted
3,14.5.2020 12:16:25,game,44-HintTaken-44-1
3,14.5.2020 12:16:29,game,44-HintTaken-44-2
3,14.5.2020 12:34:37,game,44-HintTaken-44-3
3,14.5.2020 12:36:28,game,44-CorrectFlagSubmitted
3,14.5.2020 12:36:29,game,45-LevelStarted
3,14.5.2020 12:36:45,game,45-TrainingRunEnded
1,14.5.2020 10:09:30,bash-command,40-ip
1,14.5.2020 10:09:41,bash-command,40-ipconfig
1,14.5.2020 10:09:44,bash-command,40-ip
1,14.5.2020 10:09:59,bash-command,40-ip
1,14.5.2020 10:11:00,bash-command,40-ls
1,14.5.2020 10:12:19,bash-command,40-connect
1,14.5.2020 10:16:11,bash-command,40-nmap
1,14.5.2020 10:16:58,bash-command,40-nmap
1,14.5.2020 10:17:59,bash-command,40-nmap
1,14.5.2020 10:18:32,bash-command,40-nmap
1,14.5.2020 10:18:44,bash-command,40-nmap
1,14.5.2020 10:19:00,bash-command,40-nmap
1,14.5.2020 10:20:43,bash-command,40-nmap
1,14.5.2020 10:29:42,bash-command,41-ip
1,14.5.2020 10:36:38,bash-command,41-metasploit
1,14.5.2020 10:37:28,bash-command,41-nmap
1,14.5.2020 10:39:45,bash-command,41-nsf
1,14.5.2020 10:40:47,bash-command,41-run
1,14.5.2020 10:40:58,bash-command,41-use
1,14.5.2020 10:41:05,bash-command,41-msf
1,14.5.2020 10:41:20,bash-command,41-msf5
1,14.5.2020 10:43:11,bash-command,41-msfconsole
1,14.5.2020 10:48:26,bash-command,41-msfconsole
1,14.5.2020 10:49:55,msf-command,41-use
1,14.5.2020 10:50:31,msf-command,41-set
1,14.5.2020 10:50:44,msf-command,41-set
1,14.5.2020 10:50:56,msf-command,41-exploit
1,14.5.2020 10:52:55,msf-command,41-use
1,14.5.2020 10:53:22,msf-command,41-exploit
1,14.5.2020 10:53:50,msf-command,41-set
1,14.5.2020 10:54:14,msf-command,41-set
1,14.5.2020 10:54:22,msf-command,41-exploit
1,14.5.2020 10:54:44,msf-command,41-exploit
1,14.5.2020 10:56:24,msf-command,41-set
1,14.5.2020 10:56:33,msf-command,41-exploit 
1,14.5.2020 10:56:53,msf-command,41-set
1,14.5.2020 10:56:57,msf-command,41-exploit
1,14.5.2020 10:58:09,msf-command,41-search
1,14.5.2020 10:59:51,msf-command,41-set
1,14.5.2020 11:00:02,msf-command,41-set
1,14.5.2020 11:00:14,msf-command,41-set
1,14.5.2020 11:16:53,bash-command,43-ls
1,14.5.2020 11:17:32,bash-command,43-cat
1,14.5.2020 11:20:58,bash-command,43-cd
1,14.5.2020 11:22:13,bash-command,43-ls
1,14.5.2020 11:22:44,bash-command,43-$ /usr/sbin/john
1,14.5.2020 11:24:10,bash-command,43-/usr/sbin/mailer
1,14.5.2020 11:25:26,bash-command,43-john
1,14.5.2020 11:26:27,bash-command,43-john
1,14.5.2020 11:28:01,bash-command,43-unafs
1,14.5.2020 11:31:00,bash-command,43-unshadow
1,14.5.2020 11:34:00,bash-command,43-python
1,14.5.2020 11:34:31,bash-command,43-ls
1,14.5.2020 11:35:18,bash-command,43-locate
1,14.5.2020 11:36:49,bash-command,43-python
1,14.5.2020 11:37:42,bash-command,43-john
1,14.5.2020 11:47:56,bash-command,43-john
1,14.5.2020 11:48:09,bash-command,43-ls
1,14.5.2020 11:48:20,bash-command,43-cat
1,14.5.2020 11:49:36,bash-command,43-john
1,14.5.2020 11:56:33,bash-command,44-ssh
1,14.5.2020 11:58:10,bash-command,44-ssh
1,14.5.2020 11:59:59,bash-command,44-ssh
1,14.5.2020 12:01:57,bash-command,44-chmod
1,14.5.2020 12:02:00,bash-command,44-ssh
2,14.5.2020 10:08:27,bash-command,40-Nmap
2,14.5.2020 10:10:02,bash-command,40-Nmap
2,14.5.2020 10:11:36,bash-command,40-sudo
2,14.5.2020 10:12:33,bash-command,40-Nmap
2,14.5.2020 10:14:29,bash-command,41-ls
2,14.5.2020 10:15:35,bash-command,41-nsfconsole
2,14.5.2020 10:17:31,bash-command,41-module
2,14.5.2020 10:17:49,bash-command,41-ls
2,14.5.2020 10:18:02,bash-command,41-cd
2,14.5.2020 10:18:03,bash-command,41-ls
2,14.5.2020 10:18:07,bash-command,41-cd
2,14.5.2020 10:22:38,bash-command,41-ssh
2,14.5.2020 10:25:34,bash-command,41-exploit
2,14.5.2020 10:26:51,bash-command,41-use
2,14.5.2020 10:27:22,bash-command,41-use
2,14.5.2020 10:27:24,bash-command,41-use
2,14.5.2020 10:28:27,bash-command,41-msfconsole
2,14.5.2020 10:31:24,msf-command,41-use
2,14.5.2020 10:31:43,msf-command,41-use
2,14.5.2020 10:32:44,msf-command,41-set
2,14.5.2020 10:34:19,msf-command,41-set
2,14.5.2020 10:34:27,msf-command,41-set
2,14.5.2020 10:34:35,msf-command,41-set
2,14.5.2020 10:54:06,bash-command,43-cd
2,14.5.2020 10:54:18,bash-command,43-cd
2,14.5.2020 10:54:19,bash-command,43-ls
2,14.5.2020 10:55:16,bash-command,43-john
2,14.5.2020 10:55:22,bash-command,43-ls
2,14.5.2020 10:55:32,bash-command,43-cat
2,14.5.2020 10:55:53,bash-command,43-ssh2john
2,14.5.2020 10:55:56,bash-command,43-ssh
2,14.5.2020 10:57:42,bash-command,43-./john.exe
2,14.5.2020 10:57:45,bash-command,43-./john
2,14.5.2020 10:57:51,bash-command,43-cd
2,14.5.2020 10:59:09,bash-command,43-./john.exe
2,14.5.2020 10:59:37,bash-command,43-.\john.exe
2,14.5.2020 11:03:45,bash-command,43-ssh2john
2,14.5.2020 11:05:14,bash-command,43-ls
2,14.5.2020 11:06:48,bash-command,43-cd
2,14.5.2020 11:06:49,bash-command,43-ls
2,14.5.2020 11:06:52,bash-command,43-cd
2,14.5.2020 11:08:04,bash-command,43-john
2,14.5.2020 11:08:10,bash-command,43-john
2,14.5.2020 11:08:47,bash-command,43-cd
2,14.5.2020 11:11:01,bash-command,43-.john
2,14.5.2020 11:13:24,bash-command,43-cd
2,14.5.2020 11:13:30,bash-command,43-pwd
2,14.5.2020 11:14:13,bash-command,43-pwd
2,14.5.2020 11:14:37,bash-command,43-cd
2,14.5.2020 11:14:43,bash-command,43-pwd
2,14.5.2020 11:15:19,bash-command,43-ls
2,14.5.2020 11:15:57,bash-command,43-ssh2john.py
2,14.5.2020 11:16:17,bash-command,43-cd
2,14.5.2020 11:16:18,bash-command,43-cd
2,14.5.2020 11:16:19,bash-command,43-cd
2,14.5.2020 11:16:21,bash-command,43-ls
2,14.5.2020 11:16:23,bash-command,43-cd
2,14.5.2020 11:16:26,bash-command,43-ls
2,14.5.2020 11:16:27,bash-command,43-pwd
2,14.5.2020 11:16:29,bash-command,43-cd
2,14.5.2020 11:16:31,bash-command,43-pwd
2,14.5.2020 11:16:35,bash-command,43-cd
2,14.5.2020 11:16:37,bash-command,43-pwd
2,14.5.2020 11:16:59,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:17:47,bash-command,43-pwd
2,14.5.2020 11:17:58,bash-command,43-ls
2,14.5.2020 11:18:16,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:19:27,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:19:35,bash-command,43-cat
2,14.5.2020 11:19:45,bash-command,43-cat
2,14.5.2020 11:19:47,bash-command,43-ls
2,14.5.2020 11:20:00,bash-command,43-rm
2,14.5.2020 11:20:01,bash-command,43-ls
2,14.5.2020 11:20:05,bash-command,43-rm
2,14.5.2020 11:20:25,bash-command,43-ls
2,14.5.2020 11:20:38,bash-command,43-/usr/share/john/ssh2john.py
2,14.5.2020 11:20:40,bash-command,43-ls
2,14.5.2020 11:21:57,bash-command,43-john
2,14.5.2020 11:23:22,bash-command,43-john
2,14.5.2020 11:25:01,bash-command,43-john
2,14.5.2020 11:25:40,bash-command,43-john
2,14.5.2020 11:30:08,bash-command,44-ssh
2,14.5.2020 11:34:18,bash-command,44-ssh
2,14.5.2020 11:35:28,bash-command,44-ssh
2,14.5.2020 11:35:39,bash-command,44-ssh
2,14.5.2020 11:36:46,bash-command,44-ssh
2,14.5.2020 11:37:02,bash-command,44-ssh
2,14.5.2020 11:38:22,bash-command,44-ssh
2,14.5.2020 11:41:09,bash-command,44-chmod
2,14.5.2020 11:41:13,bash-command,44-ssh
3,14.5.2020 10:30:18,bash-command,40-nmap
3,14.5.2020 10:30:59,bash-command,40-nmap
3,14.5.2020 10:46:17,bash-command,41-msf
3,14.5.2020 10:47:22,bash-command,41-msfconsole
3,14.5.2020 10:49:36,msf-command,41-use
3,14.5.2020 10:50:45,msf-command,41-use
3,14.5.2020 10:51:12,msf-command,41-show
3,14.5.2020 10:53:15,msf-command,41-exploit
3,14.5.2020 10:54:27,msf-command,41-set
3,14.5.2020 10:54:32,msf-command,41-exploit
3,14.5.2020 10:54:52,msf-command,41-show
3,14.5.2020 10:59:16,msf-command,41-set
3,14.5.2020 10:59:43,msf-command,41-set
3,14.5.2020 11:00:47,msf-command,41-set
3,14.5.2020 11:02:24,msf-command,41-set
3,14.5.2020 11:43:42,msf-command,43-exploit
3,14.5.2020 11:44:04,msf-command,43-exit
3,14.5.2020 11:44:28,bash-command,43-cd
3,14.5.2020 11:44:32,bash-command,43-ls
3,14.5.2020 11:49:33,bash-command,43-ls
3,14.5.2020 11:49:50,bash-command,43-cd
3,14.5.2020 11:49:56,bash-command,43-cd
3,14.5.2020 11:49:59,bash-command,43-ls
3,14.5.2020 11:50:11,bash-command,43-ls
3,14.5.2020 11:53:26,bash-command,43-cd
3,14.5.2020 11:53:29,bash-command,43-ls
3,14.5.2020 11:54:15,bash-command,43-cd
3,14.5.2020 11:54:17,bash-command,43-ls
3,14.5.2020 11:54:21,bash-command,43-cd
3,14.5.2020 11:54:24,bash-command,43-ls
3,14.5.2020 11:57:05,bash-command,43-ls
3,14.5.2020 11:57:12,bash-command,43-cd
3,14.5.2020 11:57:15,bash-command,43-ls
3,14.5.2020 11:57:44,bash-command,43-cd
3,14.5.2020 11:59:33,bash-command,43-/usr/share/john/ssh2john.py
3,14.5.2020 11:59:39,bash-command,43-ls
3,14.5.2020 11:59:50,bash-command,43-/usr/share/john/ssh2john.py
3,14.5.2020 12:02:35,bash-command,43-/usr/share/john/john.exe
3,14.5.2020 12:03:13,bash-command,43-cat
3,14.5.2020 12:05:07,bash-command,43-john
3,14.5.2020 12:06:14,bash-command,43-john
3,14.5.2020 12:07:11,bash-command,43-john
3,14.5.2020 12:15:03,bash-command,44-su
3,14.5.2020 12:15:39,bash-command,44-cd
3,14.5.2020 12:16:03,bash-command,44-ssh
3,14.5.2020 12:18:58,bash-command,44-ssh
3,14.5.2020 12:22:02,bash-command,44-ssh
3,14.5.2020 12:22:43,bash-command,44-pwd
3,14.5.2020 12:22:48,bash-command,44-ls
3,14.5.2020 12:24:04,bash-command,44-ssh
3,14.5.2020 12:27:17,bash-command,44-ssh
3,14.5.2020 12:27:50,bash-command,44-ssh
3,14.5.2020 12:29:12,bash-command,44-ssh
3,14.5.2020 12:30:29,bash-command,44-ssh
3,14.5.2020 12:32:23,bash-command,44-cd
3,14.5.2020 12:33:12,bash-command,44-chmod
3,14.5.2020 12:33:25,bash-command,44-ls
3,14.5.2020 12:33:40,bash-command,44-ssh
3,14.5.2020 12:33:50,bash-command,44-cd
3,14.5.2020 12:33:57,bash-command,44-ssh